#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
2;Kada se ljudi iz BiH sretnu u inozemstvu, ne pitaju jedni druge da li su Hrvati, Srbi, Bošnjaci.;When people from B&H meet abroad, they don't ask each other whether they are Croats, Serbs, Bosniaks.;women;peace;8.0;7.0;4.0;19;6.9;20.7;;6;9.0;Ethno-religious identity;20;7.0;Migration;Culture & Society;Economic Activity & Livelihoods;1;4;4.772947;5.724771;4.896861;3.466667;0.419236;3.503546
3;Smrčenjaci su asfaltirani.;Srmrčenjaci [an intersection] is paved.;men;peace;3.0;10.0;6.0;19;17.1;21.0;;17;10.0;Roads;21;0;Motor Vehicles;Economic Activity & Livelihoods;Culture & Society;-7;3;4.772947;2.146789;6.995516;5.2;2.328358;7.125
6;Djevojka iz Cima je učena da voli svoju vjeru, a poštuje tuđe.;A girl from Cim is taught to love her faith and respect another's.;women;peace;4.0;6.0;6.0;16;14.1;6.9;;14;10.0;Religious education;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;-2;4;4.019324;2.862385;4.197309;5.2;34.666667;2.772277
8;Susjedi u Cimu su u dobrim odnosima, jer često međusobno razgovaraju.;Neighbors in Cim are in good relations because they talk to each other often.;men;peace;6.0;5.0;4.0;15;6.12;6.2;;6;12.0;Neighbor Relations;6;2.0;Personal relationships;Culture & Society;Culture & Society;1;4;3.768116;4.293578;3.497758;3.466667;0.330976;2.59901
9;Susjedi u Cimu su u dobrim odnosima jer se poznaju.;Neighbors in Cim are in good relations because they know each other.;men;peace;2.0;5.0;8.0;15;6.12;6.2;;6;12.0;Neighbor Relations;6;2.0;Personal relationships;Culture & Society;Culture & Society;-3;2;3.768116;1.431193;3.497758;6.933333;0.330976;2.59901
15;Mostarski polumaraton okuplja ljude iz regije.;Mostar's half-marathon gathers people from the region.;youth;peace;2.0;5.0;7.0;14;12.3;20.4;;12;3.0;Activities;20;4.0;Tourism;Culture & Society;Economic Activity & Livelihoods;-3;2;3.516908;1.431193;3.497758;6.066667;11.555556;2.58156
16;Stari most je turistička atrakcija.;The Old Bridge is a tourist attraction.;youth;peace;5.0;7.0;2.0;14;3.6;20.4;;3;6.0;Historic cultural monuments;20;4.0;Tourism;Culture & Society;Economic Activity & Livelihoods;-2;2;3.516908;3.577982;4.896861;1.733333;0.840323;2.58156
17;Komunalna služba redovno odvozi otpad iz Cima.;The utility service regularly takes trash out of Cim.;men;peace;2.0;5.0;6.0;13;18.1;10.6;;18;10.0;Waste management Services;10;6.0;Public utilities;Rights & Dignity;Rights & Dignity;-3;2;3.2657;1.431193;3.497758;5.2;22.533333;3.823529
18;Cim ima svoju mjesnu zajednicu.;Cim has its own MZ;youth;peace;4.0;9.0;;13;9.6;;;9;6.0;Mjesna zajednica;0;0;0;Rights & Dignity;0;-5;4;3.2657;2.862385;6.295964;0.0;6.3375;0.0
19;Most u Ilićima je turistička atrakcija.;The bridge in Ilići is a tourist attraction.;youth;peace;4.0;7.0;2.0;13;3.6;20.4;;3;6.0;Historic cultural monuments;20;4.0;Tourism;Culture & Society;Economic Activity & Livelihoods;-3;2;3.2657;2.862385;4.896861;1.733333;0.7803;2.397163
21;Kad je brat čovjeka iz Cima trebao ići na liječenje u Zagreb, 7-8 ljudi im je neočekivano dalo velik novac za liječenje.;When the brother of a man from Cim had to go for treatment in Zagreb, 7-8 people unexpectedly gave him a lot of money for the treatment.;men;peace;4.0;5.0;3.0;12;23.2;6.1;;23;2.0;0;6;10.0;Us V Them;Rights & Dignity;Culture & Society;-1;3;3.014493;2.862385;3.497758;2.6;4.216216;2.079208
22;Roditelji uče svoju djecu da poštivaju starije.;Parents teach their kids to respect the elderly.;women;peace;3.0;4.0;5.0;12;6.6;15.2;;6;6.0;Inter-generational Relations;15;2.0;Infrastructure;Culture & Society;Culture & Society;-1;3;3.014493;2.146789;2.798206;4.333333;0.264781;2.8
23;Ljudi kažu „oprosti“ kad pogriješe.;People say sorry when they make a mistake.;women;peace;4.0;3.0;5.0;12;1.0;6.0;;1;0.0;Integration and Acceptance;6;0;Social Relations;Culture & Society;Culture & Society;1;3;3.014493;2.862385;2.098655;4.333333;3.403636;2.079208
24;U Mostaru studiraju studenti iz čitave BiH.;There are students from all over B&H studying in Mostar;youth;peace;4.0;3.0;5.0;12;19.3;;;19;3.0;School inclusiveness;0;0;0;Rights & Dignity;0;1;3;3.014493;2.862385;2.098655;4.333333;4.051948;0.0
26;U Cimu nema buke kao u Mostaru.;There's no noise in Cim like in Mostar.;youth;peace;1.0;3.0;7.0;11;3.0;2.0;;3;0.0;Public space;2;0;Tranquility/Security;Culture & Society;Security;-2;1;2.763285;0.715596;2.098655;6.066667;0.660254;3.0
27;Mladi ostaju u Mostaru, jer mogu naći posao.;Young people stay in Mostar because they can find a job.;women;peace;4.0;6.0;1.0;11;20.8;20.5;;20;8.0;Livelihoods;20;5;Youth employment;Economic Activity & Livelihoods;Economic Activity & Livelihoods;-2;1;2.763285;2.862385;4.197309;0.866667;0.468085;2.028369
31;U Cimu nema rupa na cestama.;There are no holes on the roads in Cim.;men;peace;4.0;4.0;2.0;10;17.1;3.8;;17;10.0;Roads;3;8.0;Condition;Economic Activity & Livelihoods;Culture & Society;0;2;2.512077;2.862385;2.798206;1.733333;1.225452;2.035398
32;Uoči izbora se ne priča stalno o politici.;On the eve of the elections there is not constant talk about politics.;youth;peace;2.0;3.0;5.0;10;9.3;9.5;;9;3.0;Political functionality;9;5;Political coexistence;Rights & Dignity;Rights & Dignity;-1;2;2.512077;1.431193;2.098655;4.333333;4.875;2.0
36;Žena iz Cima osjeća se domaća i na lijevoj i na desnoj strani.;A woman from Cim feels at home both on the left and on the right side.;women;peace;8.0;1.0;;9;1.3;22.3;;1;3.0;Social;22;3.0;Safety and comfort;Culture & Society;Culture & Society;7;1;2.26087;5.724771;0.699552;0.0;2.552727;2.918919
37;Cim ima osnovnu školu.;Cim has an elementary school.;youth;peace;2.0;5.0;2.0;9;19.0;17.4;;19;0.0;Education;17;4.0;Buildings;Rights & Dignity;Economic Activity & Livelihoods;-3;2;2.26087;1.431193;3.497758;1.733333;3.038961;2.552239
38;Žena, koja je izgubila muža u ratu, ne gleda osobe druge nacionalnosti kroz taj nesretni događaj.;The woman who lost her husband in war doesn't look at persons of other nationality through that unlucky event.;women;peace;5.0;4.0;;9;7.0;6.1;;7;0.0;Legacies of War;6;10.0;Us V Them;Dealing with the Past;Culture & Society;1;4;2.26087;3.577982;2.798206;0.0;26.0;1.559406
