#;Indikator BHS;Indicator English;Focus Group;Concept;F;M;Y;T;Code 1;Code 2;Comments;Code 1 ;Subcode 1;Subcat 1 name;Code 2;Subcode 2;Subcat 2 name;Dimension 1;Dimension 2;M-F;Min (M,F,Y);Imp score;Imp-F;Imp-M;Imp-Y;Imp-Cat1;Imp-Cat2
3;Ljudi se ne pitaju svakodnevno hoće li biti rata.;People don't ask themselves every day if there will be a war.;men;peace;4.0;4.0;8.0;16;7.0;2.2;;7;0.0;Legacies of War;2;2.0;Confidence;Dealing with the Past;Security;0;4;3.977055;2.736842;5.048544;4.521739;2.236559;2.064516
5;Nacionalnost ne utiče na to da li će neko biti prijatelj ili ne.;Nationality does not affect whether someone will be friends or not.;youth;peace;5.0;4.0;6.0;15;6.9;6.2;;6;9.0;Ethno-religious identity;6;2.0;Personal relationships;Culture & Society;Culture & Society;1;4;3.728489;3.421053;5.048544;3.391304;0.270008;4.394904
6;Nikome nije u interesu da u BiH opet bude rat.;It's in no one's interest for there to be another war in B&H.;men;peace;2.0;2.0;9.0;13;7.0;2.0;;7;0.0;Legacies of War;2;0;Tranquility/Security;Dealing with the Past;Security;0;2;3.231358;1.368421;2.524272;5.086957;1.817204;1.677419
7;U Potocima je pokrenut zajednički projekat edukativnih radionica koji okuplja žene sve tri nacije;A joint project of educational workshops has been launched in Potoci, bringing together women from all three nations.;women;peace;6.0;2.0;5.0;13;19.2;22.4;;19;2.0;Non-school based education;22;4.0;Gender based activites;Rights & Dignity;Culture & Society;4;2;3.231358;4.105263;2.524272;2.826087;1.609524;1.529412
9;U slastičarni u Potocima postoje i palačinke, kako bi se mladi mogli družiti jedući palačinke.;There are also pancakes served in the patisserie in Potoci, so that young people can socialize while eating pancakes.;youth;peace;;3.0;9.0;12;11.1;15.0;;11;10.0;Cafes and Space;15;0;Youth;Culture & Society;Culture & Society;-3;3;2.982792;0.0;3.786408;5.086957;3.017408;2.628571
10;I Srbi i Hrvati i Bošnjaci jednako vole svoje Potoke.;Serbs, Croats and Bosniaks all love Potoci equally as their own.;men;peace;4.0;1.0;7.0;12;3.2;6.9;;3;2.0;Public Ownership;6;9.0;Ethno-religious identity;Culture & Society;Culture & Society;3;1;2.982792;2.736842;1.262136;3.956522;2.445141;3.515924
11;Ljudi u Potocima opet imaju izvorsku vodu u kanalima za navodnjavanje;People in Potoci again have spring water in the irrigation canals;women;peace;9.0;2.0;1.0;12;17.6;;;17;6.0;Water/agriculture;0;0;0;Economic Activity & Livelihoods;0;7;1;2.982792;6.157895;2.524272;0.565217;5.416667;0.0
12;Cigare se ne prodaju osobama mlađim od 18 godina.;Cigarettes are not sold to persons under 18 years of age.;men;peace;3.0;1.0;8.0;12;23.3;4.0;2022-02-12 00:00:00;23;3.0;0;4;0;Criminality and Legal Enforcement;Rights & Dignity;Rights & Dignity;2;1;2.982792;2.052632;1.262136;4.521739;45.882353;3.402985
16;Bijelo Polje je „šareno“ – jedna kuća muslimanska, druga katolička, treća pravoslavna;"Bijelo Polje is ""colourful"" – one Muslim house, another Catholic, the third Orthodox.";women;peace;7.0;2.0;2.0;11;6.9;13.0;;6;9.0;Ethno-religious identity;13;0;Media;Culture & Society;Culture & Society;5;2;2.734226;4.789474;2.524272;1.130435;0.198006;2.25641
17;Postoje projekti NVO-a u Potocima gdje se ljudi svih nacija druže.;There are NGO projects in Potoci where people of all nations socialize.;women;peace;5.0;3.0;3.0;11;9.7;6.9;;9;7.0;Citizens' associations;6;9.0;Ethno-religious identity;Rights & Dignity;Culture & Society;2;3;2.734226;3.421053;3.786408;1.695652;2.118519;3.22293
18;Susjedi u Potocima sarađuju jedni s drugima da se poboljša stanje, jer nije dovoljno da samo vlada mir.;Neighbors in Potoci cooperate with each other to improve the situation, because it is not enough that peace reigns.;men;peace;2.0;6.0;3.0;11;6.12;3.2;;6;12.0;Neighbor Relations;3;2.0;Public Ownership;Culture & Society;Culture & Society;-4;2;2.734226;1.368421;7.572816;1.695652;0.198006;2.086207
19;Ljudi u Potocima sade poljoprivredne proizvode i na taj način žive od svoga rada.;People in Potoci plant agricultural products and in that way make a living from their work.;women;peace;6.0;3.0;2.0;11;20.8;;;20;8.0;Livelihoods;0;0;0;Economic Activity & Livelihoods;0;3;2;2.734226;4.105263;3.786408;1.130435;2.708333;0.0
20;Radnice u kladionicama ne puštaju djecu da kockaju.;Workers in betting shops do not let children gamble.;men;peace;5.0;2.0;4.0;11;15.0;4.0;;15;0.0;Youth;4;0;Criminality and Legal Enforcement;Culture & Society;Rights & Dignity;3;2;2.734226;3.421053;2.524272;2.26087;0.592133;3.119403
21;Alkohol se ne prodaje osobama mlađim od 18 godina.;Alcohol is not sold to people under 18 years of age.;men;peace;3.0;1.0;7.0;11;16.1;23.3;2.12.22;16;10.0;Prevention;23;3.0;0;Rights & Dignity;Rights & Dignity;2;1;2.734226;2.052632;1.262136;3.956522;130.0;1.294118
24;Kada su bili protesti na Uborku, niko nije pitao ko je ko.;When there were protests at Uborak, no one asked who was who.;youth;peace;7.0;2.0;1.0;10;6.4;1.3;;6;4.0;Activism;1;3.0;Social;Culture & Society;Culture & Society;5;1;2.48566;4.789474;2.524272;0.565217;0.180006;3.559322
25;Djeca se uče u školi da se ne razlikuju po vjeri.;Children are taught in school not to differ each other by their religion.;youth;peace;1.0;1.0;8.0;10;19.3;1.1;;19;3.0;School inclusiveness;1;10.0;Personal value;Rights & Dignity;Culture & Society;0;1;2.48566;0.684211;1.262136;4.521739;1.238095;3.559322
26;Autobusi za Mostar voze i kada nema škole.;Buses to Mostar run even when there is no school.;women;peace;5.0;;5.0;10;21.4;;;21;4.0;Public transport;0;0;0;Culture & Society;0;5;5;2.48566;3.421053;0.0;2.826087;7.222222;0.0
